model,tom_dimension,accuracy,dim_rank,age_mid,family,tier,date_years,params_b,log_params,mean_acc,coherence,coherence_resid
openai-api/local/meta-llama/llama-3.1-8b-instruct,Faux Pas Detection,0.7333333333333333,10,10.5,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,First-Order False Belief,0.4117647058823529,4,5,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Hidden Emotion (Appearance vs. Reality),0.8666666666666667,6,7.25,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Intention vs. Accident,1,5,6,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Irony,0.9333333333333333,11,8,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Knowledge Access / Ignorance,0.8666666666666667,2,4,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Sarcasm,0.8,9,8.5,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,Second-Order False Belief,0.9333333333333333,7,7.25,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.1-8b-instruct,White Lies / Prosocial Deception,0.9333333333333333,8,7.5,Llama,Llama small,0.5585215605749486,8,0.9030899869919435,0.8586956521739131,0.026348216054098435,-0.00923921677474902
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Beliefs,1,1,4,Llama,Llama large,0.9308692676249144,70,1.845098040014257,0.967391304347826,-0.00722725086361448,-0.02494400006225276
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Desires,0.9333333333333333,0,3,Llama,Llama large,0.9308692676249144,70,1.845098040014257,0.967391304347826,-0.00722725086361448,-0.02494400006225276
openai-api/local/meta-llama/llama-3.3-70b-instruct,Emotion Recognition,1,3,5.4,Llama,Llama large,0.9308692676249144,70,1.845098040014257,0.967391304347826,-0.00722725086361448,-0.02494400006225276
