item_id,task,tom_dimension,tom_construct,dim_rank,age_mid,n,pass,passrate,passrate_adj,difficulty_logit,fitted_pooled
IRO_FR_03,tom_12dim_freeresponse,Irony,Pragmatic understanding,11,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
IRO_FR_04,tom_12dim_freeresponse,Irony,Pragmatic understanding,11,9,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.9055197780220878
IRO_FR_05,tom_12dim_freeresponse,Irony,Pragmatic understanding,11,8,28,28,1,0.9827586206896551,-4.043051267834548,-1.9860864298618786
KA_01,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,3.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.3486363631409364
KA_02,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,3.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.3486363631409364
KA_03,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
KA_04,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,3.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.3486363631409364
KA_05,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
KA_06,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
KA_07,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
KA_08,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.2680697113011457
KA_09,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.2680697113011457
KA_10,tom_12dim_mcq,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-2.2680697113011457
KA_FR_01,tom_12dim_freeresponse,Knowledge Access / Ignorance,Knowledge access,2,3.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.3486363631409364
KA_FR_02,tom_12dim_freeresponse,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.2680697113011457
KA_FR_03,tom_12dim_freeresponse,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,10,0.35714285714285715,0.3620689655172414,0.5663954749208017,-2.2680697113011457
KA_FR_04,tom_12dim_freeresponse,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.2680697113011457
KA_FR_05,tom_12dim_freeresponse,Knowledge Access / Ignorance,Knowledge access,2,4.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.2680697113011457
SAR_01,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,7,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.066653081701669
SAR_02,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
SAR_03,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,7,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.066653081701669
SAR_04,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,8,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.9860864298618786
SAR_05,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
SAR_06,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,9,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9055197780220878
SAR_07,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,8,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.9860864298618786
SAR_08,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,9,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-1.9055197780220878
SAR_09,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,9,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-1.9055197780220878
SAR_10,tom_12dim_mcq,Sarcasm,Pragmatic understanding,9,10,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-1.8249531261822973
SAR_FR_01,tom_12dim_freeresponse,Sarcasm,Pragmatic understanding,9,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
SAR_FR_02,tom_12dim_freeresponse,Sarcasm,Pragmatic understanding,9,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
SAR_FR_03,tom_12dim_freeresponse,Sarcasm,Pragmatic understanding,9,9,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9055197780220878
SAR_FR_04,tom_12dim_freeresponse,Sarcasm,Pragmatic understanding,9,9,28,22,0.7857142857142857,0.7758620689655172,-1.2417131323087829,-1.9055197780220878
SAR_FR_05,tom_12dim_freeresponse,Sarcasm,Pragmatic understanding,9,10,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-1.8249531261822973
SOFB_01,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,6.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.1069364076215646
SOFB_02,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,6.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.1069364076215646
SOFB_03,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
SOFB_04,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,6.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.1069364076215646
SOFB_05,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,7,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.066653081701669
SOFB_06,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
SOFB_07,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,7,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.066653081701669
SOFB_08,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,7.5,28,25,0.8928571428571429,0.8793103448275862,-1.9859154836690123,-2.026369755781774
SOFB_09,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,6.5,28,24,0.8571428571428571,0.8448275862068966,-1.6945957207744076,-2.1069364076215646
SOFB_10,tom_12dim_mcq,Second-Order False Belief,Belief reasoning,7,8,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-1.9860864298618786
SOFB_FR_01,tom_12dim_freeresponse,Second-Order False Belief,Belief reasoning,7,6.5,28,23,0.8214285714285714,0.8103448275862069,-1.4522523289116878,-2.1069364076215646
SOFB_FR_02,tom_12dim_freeresponse,Second-Order False Belief,Belief reasoning,7,6.5,28,21,0.75,0.7413793103448276,-1.0531499145913525,-2.1069364076215646
