model,tom_dimension,n,n_correct,accuracy
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Emotion Recognition,17,10,0.5882352941176471
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Faux Pas Detection,15,2,0.13333333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.3,First-Order False Belief,17,1,0.058823529411764705
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Hidden Emotion (Appearance vs. Reality),15,4,0.26666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Intention vs. Accident,15,5,0.3333333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Irony,15,7,0.4666666666666667
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Knowledge Access / Ignorance,15,4,0.26666666666666666
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Sarcasm,15,3,0.2
openai-api/local/mistralai/mistral-7b-instruct-v0.3,Second-Order False Belief,15,2,0.13333333333333333
openai-api/local/mistralai/mistral-7b-instruct-v0.3,White Lies / Prosocial Deception,15,3,0.2
openai-api/local/mistralai/mixtral-8x7b-instruct,Diverse Beliefs,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Diverse Desires,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Emotion Recognition,17,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Faux Pas Detection,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,First-Order False Belief,17,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Hidden Emotion (Appearance vs. Reality),15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Intention vs. Accident,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Irony,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Knowledge Access / Ignorance,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Sarcasm,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,Second-Order False Belief,15,0,0.0
openai-api/local/mistralai/mixtral-8x7b-instruct,White Lies / Prosocial Deception,15,0,0.0
openai-api/local/qwen/qwen-1.5-72b-chat,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,Diverse Desires,15,15,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Emotion Recognition,17,17,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Faux Pas Detection,15,11,0.7333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,First-Order False Belief,17,17,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Hidden Emotion (Appearance vs. Reality),15,14,0.9333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,Intention vs. Accident,15,15,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,Irony,15,14,0.9333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,Sarcasm,15,14,0.9333333333333333
openai-api/local/qwen/qwen-1.5-72b-chat,Second-Order False Belief,15,15,1.0
openai-api/local/qwen/qwen-1.5-72b-chat,White Lies / Prosocial Deception,15,15,1.0
openai-api/local/qwen/qwen1.5-14b-chat,Diverse Beliefs,15,12,0.8
openai-api/local/qwen/qwen1.5-14b-chat,Diverse Desires,15,7,0.4666666666666667
openai-api/local/qwen/qwen1.5-14b-chat,Emotion Recognition,17,6,0.35294117647058826
openai-api/local/qwen/qwen1.5-14b-chat,Faux Pas Detection,15,3,0.2
openai-api/local/qwen/qwen1.5-14b-chat,First-Order False Belief,17,13,0.7647058823529411
openai-api/local/qwen/qwen1.5-14b-chat,Hidden Emotion (Appearance vs. Reality),15,4,0.26666666666666666
openai-api/local/qwen/qwen1.5-14b-chat,Intention vs. Accident,15,5,0.3333333333333333
openai-api/local/qwen/qwen1.5-14b-chat,Irony,15,8,0.5333333333333333
openai-api/local/qwen/qwen1.5-14b-chat,Knowledge Access / Ignorance,15,5,0.3333333333333333
openai-api/local/qwen/qwen1.5-14b-chat,Sarcasm,15,6,0.4
openai-api/local/qwen/qwen1.5-14b-chat,Second-Order False Belief,15,13,0.8666666666666667
